category,n,spearman,kappa,mae,mean_avg_human,mean_gemini
agriculture,5,,,0.9,4.1,5.0
beverages,6,,,0.5833333333333334,4.416666666666667,5.0
bird,4,,,0.5,4.5,5.0
celebrations,7,0.13867504905630731,-0.19512195121951217,1.2142857142857142,3.642857142857143,4.142857142857143
clothing,7,0.6416889479197478,0.16666666666666666,0.5,4.214285714285714,4.714285714285714
education,8,0.31426968052735443,-0.3333333333333333,1.375,4.125,3.5
flower,5,,,0.7,4.3,5.0
food,5,0.7905694150420948,0.23076923076923075,0.3,4.3,4.6
fruit,6,0.5940885257860046,0.19999999999999998,1.5,2.0,2.5
houses,5,0.35355339059327373,-0.17647058823529413,0.8,4.2,3.8
mammal,6,,,1.1666666666666667,3.8333333333333335,5.0
music,8,0.15897016107942205,0.09433962264150944,1.0625,3.5625,4.375
religion,7,0.35785924761939486,0.125,1.3571428571428572,3.0714285714285716,3.7142857142857144
sport,6,-0.14142135623730953,-0.058823529411764705,1.0833333333333333,3.9166666666666665,4.666666666666667
utensil,7,0.2939723678960656,0.10256410256410257,1.9285714285714286,2.0714285714285716,2.857142857142857
vegetable,5,0.7254762501100117,0.11764705882352937,0.8,4.2,4.0
visual-arts,3,0.8660254037844387,-0.2857142857142857,0.6666666666666666,4.0,4.666666666666667
