image_id,category,yousha_A_source_cultural_appropriateness,simran_A_source_cultural_appropriateness,avg_human_A_source_cultural_appropriateness,gemini_A_source_cultural_appropriateness,yousha_B_adapted_cultural_appropriateness,simran_B_adapted_cultural_appropriateness,avg_human_B_adapted_cultural_appropriateness,gemini_B_adapted_cultural_appropriateness,yousha_C_semantic_preservation,simran_C_semantic_preservation,avg_human_C_semantic_preservation,gemini_C_semantic_preservation,yousha_D_visual_coherence,simran_D_visual_coherence,avg_human_D_visual_coherence,gemini_D_visual_coherence,yousha_E_structural_similarity,simran_E_structural_similarity,avg_human_E_structural_similarity,gemini_E_structural_similarity,yousha_overall_success,simran_overall_success,avg_human_overall_success,gemini_overall_success
utensil_suribachi,utensil,2,3,2.5,1,4,4,4.0,5,4,5,4.5,5,4,5,4.5,5,4,4,4.0,5,4,4,4.0,5
visual-arts_barroco-no-brasil,visual-arts,1,2,1.5,1,5,5,5.0,5,5,4,4.5,5,5,5,5.0,5,4,4,4.0,4,4,4,4.0,5
vegetable_ewedu,vegetable,4,5,4.5,4,4,5,4.5,3,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,0,5,2.5,0
music_cavaquinho,music,2,2,2.0,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,4,5,4.5,5
beverages_calpis,beverages,2,1,1.5,1,5,4,4.5,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,4,4.0,5
agriculture_cotton,agriculture,4,4,4.0,3,3,5,4.0,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,4,0,5,2.5,5
fruit_citrus-unshiu,fruit,4,5,4.5,3,2,5,3.5,3,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,0,5,2.5,0
celebrations_independence-day-celebration,celebrations,1,2,1.5,1,4,3,3.5,2,3,1,2.0,5,3,5,4.0,3,3,5,4.0,5,3,0,1.5,0
bird_tucano,bird,1,3,2.0,1,5,5,5.0,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,4,3,5,4.0,5
bird_gull,bird,2,2,2.0,3,4,5,4.5,5,3,5,4.0,5,4,5,4.5,4,4,5,4.5,5,4,5,4.5,5
beverages_calpis,beverages,2,1,1.5,1,4,4,4.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,4,4.0,5
clothing_camisola-poveira,clothing,1,2,1.5,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,5,5,5.0,5,4,5,4.5,5
celebrations_festa-junina,celebrations,1,3,2.0,1,4,5,4.5,5,4,5,4.5,5,5,5,5.0,4,5,5,5.0,5,4,5,4.5,5
education_vocational-school,education,1,1,1.0,1,4,5,4.5,5,3,5,4.0,5,3,5,4.0,5,3,5,4.0,4,3,5,4.0,5
education_cram-school,education,2,2,2.0,2,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5
religion_hinduism-in-nigeria,religion,4,4,4.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,0,5,2.5,0
religion_turbe,religion,2,4,3.0,2,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,4,5,4.5,4,4,5,4.5,5
music_baglama,music,2,3,2.5,1,5,5,5.0,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5
food_pounded-yam,food,1,1,1.0,1,3,3,3.0,3,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,3,2,2.5,3
food_tempura,food,1,3,2.0,1,4,5,4.5,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
flower_cherry-blossom,flower,1,3,2.0,1,4,4,4.0,5,5,5,5.0,5,4,3,3.5,5,3,5,4.0,5,4,3,3.5,5
houses_yoruba-architecture,houses,3,2,2.5,1,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5
clothing_sleeveless-shirt,clothing,1,4,2.5,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,5,5,5.0,5,4,5,4.5,5
fruit_peach,fruit,1,3,2.0,2,2,4,3.0,5,3,5,4.0,5,3,4,3.5,5,3,5,4.0,3,0,4,2.0,5
sport_american-football,sport,1,2,1.5,2,5,5,5.0,5,4,5,4.5,5,2,5,3.5,5,2,5,3.5,3,3,5,4.0,5
music_rock,music,1,3,2.0,1,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,2,5,3.5,4,3,5,4.0,5
flower_jacaranda,flower,2,3,2.5,2,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
visual-arts_graffiti,visual-arts,1,3,2.0,1,5,4,4.5,5,5,4,4.5,5,5,3,4.0,5,5,5,5.0,5,5,4,4.5,5
sport_karate,sport,1,4,2.5,1,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,2,5,3.5,4,3,5,4.0,5
education_quran-course,education,3,4,3.5,3,3,5,4.0,2,5,5,5.0,5,1,5,3.0,4,5,5,5.0,5,0,5,2.5,0
celebrations_carnaval-de-torres-vedras,celebrations,1,2,1.5,1,5,5,5.0,5,5,5,5.0,5,4,5,4.5,4,5,5,5.0,5,0,5,2.5,5
fruit_apple,fruit,5,5,5.0,3,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,4,5,4.5,5,0,5,2.5,5
religion_mainline-protestant,religion,1,3,2.0,1,5,3,4.0,5,4,3,3.5,5,4,2,3.0,4,4,5,4.5,5,4,0,2.0,4
agriculture_hazelnut-production-in-turkey,agriculture,1,3,2.0,1,4,4,4.0,5,5,4,4.5,5,5,3,4.0,5,5,5,5.0,5,5,2,3.5,5
clothing_wrapper,clothing,1,2,1.5,1,4,4,4.0,4,4,4,4.0,5,4,2,3.0,3,4,5,4.5,5,4,2,3.0,3
education_university-of-abuja,education,1,1,1.0,1,5,4,4.5,5,5,5,5.0,5,5,4,4.5,4,5,5,5.0,5,5,3,4.0,5
celebrations_festa-dos-tabuleiros,celebrations,1,1,1.0,1,4,3,3.5,5,5,2,3.5,5,4,3,3.5,4,4,5,4.5,5,4,2,3.0,5
clothing_havaianas,clothing,4,5,4.5,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5
food_simit,food,1,1,1.0,1,5,4,4.5,5,5,5,5.0,5,5,3,4.0,5,5,5,5.0,4,5,3,4.0,5
flower_handroanthus,flower,2,5,3.5,1,4,5,4.5,4,4,5,4.5,5,4,4,4.0,5,3,5,4.0,5,3,4,3.5,5
music_traditional-flute-player,music,1,2,1.5,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,4,4,5,4.5,5,4,5,4.5,4
vegetable_yam,vegetable,1,2,1.5,3,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,3,3,5,4.0,5
beverages_beer,beverages,1,5,3.0,2,4,5,4.5,5,4,5,4.5,5,4,4,4.0,5,4,5,4.5,5,4,4,4.0,5
houses_minka,houses,2,2,2.0,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
vegetable_cassava,vegetable,3,2,2.5,3,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5
food_bifana,food,1,2,1.5,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,5,5,5.0,5
clothing_suit,clothing,1,3,2.0,1,4,5,4.5,5,4,5,4.5,5,4,4,4.0,5,3,5,4.0,5,4,4,4.0,5
mammal_angora-cat,mammal,4,5,4.5,3,4,5,4.5,5,3,5,4.0,5,4,3,3.5,5,3,5,4.0,5,3,3,3.0,5
celebrations_congada,celebrations,1,2,1.5,1,5,5,5.0,5,5,5,5.0,5,5,4,4.5,4,4,5,4.5,5,4,5,4.5,5
music_frevo,music,1,2,1.5,1,5,4,4.5,5,4,5,4.5,5,4,4,4.0,4,2,5,3.5,5,3,4,3.5,4
fruit_orange,fruit,3,5,4.0,3,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,4,4,5,4.5,5
food_nigeria-jollof-rice-and-chicken-meat,food,2,4,3.0,2,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
mammal_common-raccoon-dog,mammal,1,3,2.0,5,3,5,4.0,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,5
sport_volleyball,sport,1,2,1.5,3,3,5,4.0,4,4,5,4.5,5,4,5,4.5,3,3,5,4.0,4,3,5,4.0,3
houses_koutammakou,houses,2,3,2.5,1,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5
flower_cattleya,flower,2,4,3.0,2,5,5,5.0,5,5,5,5.0,5,5,4,4.5,5,5,5,5.0,5,5,4,4.5,5
mammal_angora-goat,mammal,2,3,2.5,2,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,4,4,5,4.5,5
bird_kounotori,bird,1,2,1.5,3,5,5,5.0,5,5,5,5.0,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5
fruit_jabuticaba,fruit,3,3,3.0,1,3,3,3.0,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,0,1,0.5,0
clothing_flip-flops,clothing,4,5,4.5,3,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,4,4,4.0,5,4,4,4.0,5
bird_common-blackbird,bird,2,5,3.5,2,5,5,5.0,5,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
utensil_donabe,utensil,1,2,1.5,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
agriculture_soybean,agriculture,2,4,3.0,3,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
flower_narcissus,flower,2,5,3.5,2,4,5,4.5,5,4,5,4.5,5,5,5,5.0,4,5,5,5.0,5,5,5,5.0,5
religion_catholic-church,religion,1,4,2.5,1,2,4,3.0,2,1,4,2.5,5,1,3,2.0,4,1,5,3.0,2,1,3,2.0,2
beverages_palm-wine,beverages,2,3,2.5,3,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5
utensil_barbecue-grill,utensil,1,5,3.0,2,1,5,3.0,2,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,0,5,2.5,0
religion_temizuya,religion,1,4,2.5,1,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
sport_association-football,sport,1,1,1.0,3,5,5,5.0,5,5,5,5.0,5,5,4,4.5,4,4,5,4.5,4,5,4,4.5,5
education_kwl-table,education,1,5,3.0,3,3,5,4.0,2,4,5,4.5,5,3,4,3.5,4,4,5,4.5,5,3,4,3.5,0
music_idol,music,1,1,1.0,1,5,3,4.0,5,3,5,4.0,5,4,2,3.0,4,4,4,4.0,5,4,1,2.5,5
mammal_giant-anteater,mammal,2,4,3.0,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,3,5,4.0,5
agriculture_corn-farm,agriculture,2,2,2.0,3,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
education_imam-hatip-high-school,education,2,3,2.5,1,5,5,5.0,4,4,5,4.5,5,4,4,4.0,4,4,5,4.5,5,5,5,5.0,4
education_boarding-school,education,1,2,1.5,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,4,4,5,4.5,5
clothing_capote-alentejano,clothing,1,2,1.5,1,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,4,5,4.5,5,5,5,5.0,5
mammal_maned-wolf,mammal,2,3,2.5,1,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5
utensil_squeegee,utensil,5,3,4.0,2,4,5,4.5,5,1,5,3.0,5,1,4,2.5,5,1,4,2.5,2,0,3,1.5,5
houses_aso-villa,houses,1,4,2.5,1,4,5,4.5,4,4,5,4.5,5,4,5,4.5,4,5,5,5.0,5,5,5,5.0,4
fruit_mango,fruit,4,5,4.5,5,2,4,3.0,5,4,5,4.5,5,4,4,4.0,5,4,5,4.5,5,0,0,0.0,0
music_fado-de-lisboa,music,1,3,2.0,1,4,2,3.0,2,4,5,4.5,5,5,3,4.0,5,5,5,5.0,5,5,0,2.5,2
celebrations_new-years-eve,celebrations,2,5,3.5,3,4,5,4.5,4,4,5,4.5,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4
